"method","biotic","sel","bag_site","event","pearson_surv","pearson_surv_pval","spearman_surv","spearman_surv_pval","kendall_surv","kendall_surv_pval","r2_surv","r2_surv_rank","pearson_len","pearson_len_pval","spearman_len","spearman_len_pval","kendall_len","kendall_len_pval","r2_len","r2_len_rank","signif_surv","signif_len"
"lea","nb","sel","YorkRiver",3,-0.483163253012943,0.0167700525855102,-0.307363058433249,0.144009480991668,-0.295760240875639,0.0508857412163913,0.233446729062049,0.140534262485482,-0.5192855266503,0.00931128986314722,-0.564812457804689,0.00403293756414963,-0.432264967433626,0.00432311122553148,0.269657458188479,0.536875725900116,FALSE,TRUE
"lea","nb","sel","YorkRiver",4,-0.389688621937414,0.0730127945732662,-0.251997788786856,0.257904351842884,-0.231005839565715,0.146497287558392,0.151857222067481,0.0169195229742155,-0.479066695623773,0.0240840042721302,-0.588753298858681,0.00394342519840812,-0.439364047801458,0.00575054088111214,0.229504898855881,0.430512809522158,FALSE,TRUE
"gf_geno","nb","sel","Lewisetta",1,-0.128119224669125,0.550764952351025,-0.0893191793737647,0.678109058985913,-0.0530851714392172,0.726009770673111,0.0164145357298178,0.0167672702883971,-0.112616457441659,0.600330463351513,0.031524416249564,0.883740672404498,0,1,0.0126824664867091,0.00216057384841415,FALSE,FALSE
"gf_geno","nb","sel","Lewisetta",2,-0.0884684035228856,0.681016950077489,-0.00525406937492734,0.980561006526135,-0.0379179795994408,0.802345236467723,0.0078266584218881,0.00067069081153588,-0.219822617089375,0.302020179121126,-0.183892428122457,0.389699417309092,-0.136504726557987,0.367520738242143,0.048321982984022,0.0104571774263245,FALSE,FALSE
"gf_geno","nb","sel","Lewisetta",3,-0.143325805423951,0.504050915621396,-0.0446595896868824,0.835846060568692,-0.0606687673591053,0.68878759166932,0.0205422865004241,0.00119796346211441,-0.295576726036548,0.160829766847218,-0.309990093120713,0.140438214768357,-0.265425857196086,0.079740865817891,0.0873656009744842,0.120915812067732,FALSE,FALSE
"gf_geno","nb","sel","Lewisetta",4,-0.15466700513449,0.470527410162413,-0.0683029018740554,0.751150957709325,-0.0682523632789935,0.652304137211763,0.0239218824772723,0.00748727163821503,-0.181620514797998,0.395684596988704,-0.417698515306723,0.0422569231792971,-0.379179795994408,0.0123100015412109,0.0329860113954899,0.256715506715507,FALSE,TRUE
"gf_geno","nb","sel","YorkRiver",1,0.16802465140716,0.432564611015475,0.291600850308467,0.166802778555693,0.182006302077316,0.22955621387892,0.0282322834804976,0.3358772557437,-0.232478592951784,0.274317970936608,-0.391428168432087,0.0585575778553214,-0.204757089836981,0.176474290774069,0.0540462961808413,0.0217687074829932,FALSE,FALSE
"gf_geno","nb","sel","YorkRiver",2,0.117486344827372,0.584559450324727,0.178638358747529,0.403618672886538,0.121337534718211,0.423130558109633,0.0138030412208961,0.24373539601966,-0.177951871965389,0.405457536417384,-0.309990093120713,0.140438214768357,-0.174422706157428,0.249551183213353,0.031666868735986,0.0506139562743336,FALSE,FALSE
"gf_geno","nb","sel","YorkRiver",3,-0.243327028906083,0.251901989692935,-0.210162774997093,0.32428694204789,-0.151671918397763,0.316704823946919,0.0592080429962616,0.0351335656213705,-0.67116988992434,0.000330312989398818,-0.662012741240845,0.000425542042325784,-0.500517330712619,0.000952707078402692,0.450469021141051,0.116144018583043,FALSE,TRUE
"gf_geno","nb","sel","YorkRiver",4,-0.263164817593985,0.236689647683017,-0.229244038106327,0.304781176227632,-0.149474366777816,0.347453842604331,0.0692557212192754,3.47014254651543e-05,-0.504455335760812,0.0166588128979193,-0.645637675560003,0.00117324962576107,-0.484659310461402,0.00231610658139485,0.254475185777554,0.094045820480188,FALSE,TRUE
"rda","nb","sel","Lewisetta",1,-0.269918447670697,0.202108236581111,-0.141859873123038,0.508467813841803,-0.128921130638099,0.394733526234106,0.0728559683929587,0.0394217154780536,-0.181360151299903,0.396373785257374,-0.126097664998256,0.557120652432312,-0.106170342878434,0.483380001354093,0.0328915044795235,0.0381125226860254,FALSE,FALSE
"rda","nb","sel","Lewisetta",2,-0.21430864018692,0.314611612576741,-0.0262703468746367,0.903019284199732,-0.0227507877596645,0.880616409651966,0.0459281932587666,7.45212012817662e-05,-0.373362653209144,0.0723228321334968,-0.278465676871149,0.187633101907925,-0.212340685756869,0.160988931812515,0.139399670811372,0.0194451646357273,FALSE,FALSE
"rda","nb","sel","Lewisetta",3,-0.333767883234896,0.110951605920645,-0.10770842218601,0.61640325682933,-0.0606687673591053,0.68878759166932,0.111400999879103,0.0191674153938305,-0.264918167141735,0.210918247403115,-0.231179052496803,0.277085495255525,-0.144088322477875,0.341508070282769,0.0701816352817364,0.0579537324111614,FALSE,FALSE
"rda","nb","sel","Lewisetta",4,-0.324203345461463,0.122209236712954,-0.115589526248401,0.590680933005546,-0.0530851714392172,0.726009770673111,0.105107809208405,0.0146750524109015,-0.168528876638864,0.431164739430056,-0.344141544057741,0.0996229135062935,-0.242675069436421,0.109154778516566,0.0284019822611576,0.134615384615385,FALSE,FALSE
"rda","nb","sel","YorkRiver",1,0.080917909835754,0.707013235612799,0.23643312187173,0.266004717961956,0.151671918397763,0.316704823946919,0.00654770813218723,0.0763971698863184,-0.192369843136116,0.36782306776042,-0.0367784856244914,0.864525879105531,-0.0530851714392172,0.726009770673111,0.037006156548214,0.000340136054421772,FALSE,FALSE
"rda","nb","sel","YorkRiver",2,-0.0107101362744226,0.960386164516679,0.160249115935284,0.454458810485496,0.091003151038658,0.548005572361309,0.000114707019016703,0.0677624687776971,-0.175634078849805,0.411700389431491,-0.149740977185429,0.484945810549895,-0.159255514317652,0.29311395567331,0.0308473296534197,0.0299490865528602,FALSE,FALSE
