"pearson_surv","pearson_surv_pval","spearman_surv","spearman_surv_pval","kendall_surv","kendall_surv_pval","r2_surv","pearson_len","pearson_len_pval","spearman_len","spearman_len_pval","kendall_len","kendall_len_pval","r2_len","method","biotic","bag_site","event","signif_surv","signif_len"
-0.141921345339755,0.508282217946472,0.10770842218601,0.61640325682933,0.0834195551187698,0.581847029291278,0.0201416682630461,0.00160323502521005,0.994067859838645,-0.0131351734373183,0.951425982837668,-0.0151671918397763,0.920244901471896,2.57036254606003e-06,"lea","nb","YorkRiver",1,FALSE,FALSE
-0.176114926810393,0.410400911477889,0.0183892428122457,0.932033890940699,0.0227507877596645,0.880616409651966,0.0310164674454302,-0.0897680786319325,0.676576545144706,-0.118216560935865,0.582210210342314,-0.121337534718211,0.423130558109633,0.00805830794126885,"lea","nb","YorkRiver",2,FALSE,FALSE
-0.479913590404798,0.0176298046558852,-0.307363058433249,0.144009480991668,-0.295760240875639,0.0508857412163913,0.230317054255224,-0.518673807560519,0.00940944769589691,-0.564812457804689,0.00403293756414963,-0.432264967433626,0.00432311122553148,0.269022518649326,"lea","nb","YorkRiver",3,FALSE,TRUE
-0.385398052366466,0.0765078475066644,-0.251997788786856,0.257904351842884,-0.231005839565715,0.146497287558392,0.148531658767865,-0.483577163526131,0.0226007716755736,-0.588753298858681,0.00394342519840812,-0.439364047801458,0.00575054088111214,0.233846873083978,"lea","nb","YorkRiver",4,FALSE,TRUE
-0.197092640799979,0.355951022564346,-0.254822364683976,0.229483786644935,-0.189589897997204,0.210728255863709,0.0388455090575097,-0.16903803823289,0.429753645695313,-0.162876150622747,0.446997502075623,-0.136504726557987,0.367520738242143,0.028573858369624,"gf_af","nb","Lewisetta",1,FALSE,FALSE
-0.195105940152782,0.360917476331722,-0.223297948434412,0.294246748529564,-0.174422706157428,0.249551183213353,0.038066327882901,-0.31461166395275,0.134309992143817,-0.367784856244914,0.0770345314685512,-0.273009453115974,0.0715054164448744,0.0989804990951179,"gf_af","nb","Lewisetta",2,FALSE,FALSE
-0.310983116851503,0.13910490561501,-0.278465676871149,0.187633101907925,-0.197173493917092,0.193043565108068,0.0967104989666756,-0.475219378847831,0.0189347905498855,-0.562185423117225,0.00424601608045038,-0.401930583754073,0.00797045699902741,0.225833458032518,"gf_af","nb","Lewisetta",3,FALSE,TRUE
-0.348324394818692,0.0953063998161326,-0.325752301245495,0.120331976178313,-0.204757089836981,0.176474290774069,0.121329884025808,-0.405001872057504,0.0496191965447745,-0.690910122802945,0.000185591794339102,-0.515684522552395,0.000663440613357049,0.164026516370083,"gf_af","nb","Lewisetta",4,FALSE,TRUE
0.0908531869844093,0.672877204431353,0.202281670934702,0.343169590255817,0.151671918397763,0.316704823946919,0.00825430158522405,0.0589688681866915,0.784312550475144,0.007881104062391,0.970844863149036,0.0227507877596645,0.880616409651966,0.0034773274152194,"gf_af","nb","YorkRiver",1,FALSE,FALSE
0.0625428555971373,0.771568544764391,0.0998273181236194,0.642571182374299,0.091003151038658,0.548005572361309,0.00391160878624438,0.0357333895447359,0.868342343709481,-0.0893191793737647,0.678109058985913,-0.0530851714392172,0.726009770673111,0.00127687512835585,"gf_af","nb","YorkRiver",2,FALSE,FALSE
