tagsLength_key,tags_key,length,width,tagsLength_timestamp,tagLength_notes,dead
212b0c10,e9375784,39,28,5/8/24 13:59,,ALIVE
381489c6,16ebd086,26,18,5/8/24 14:01,,ALIVE
4d4896e7,8a74d316,27,22,5/8/24 14:00,,ALIVE
6e2e6048,5e091a08,29,24,5/8/24 14:01,,DEAD
821cfc41,71482409,21,28,5/8/24 14:01,,ALIVE
c7a6a7f2,87f9c71c,27,19,5/8/24 14:02,,ALIVE
6a9bfc3a,dcb916f8,30,22,5/8/24 14:02,,ALIVE
84f3133d,44d30d73,30,20,5/8/24 14:02,,ALIVE
f96e33cc,6ae5294c,28,19,5/8/24 14:02,,ALIVE
9be03bb3,4c7f4e5e,30,22,5/8/24 14:02,,ALIVE
25c450ba,cf7b96fc,29,22,5/8/24 14:02,,ALIVE
87d8431a,df1291c4,0,0,5/8/24 14:03,,LooseTag
9b4e0dfa,b06ec238,32,20,5/8/24 14:02,,ALIVE
ead516e9,7ff443bb,26,18,5/8/24 14:02,,ALIVE
bcad3b05,11097e7f,0,0,5/8/24 14:03,,LooseTag
9bf2567b,97b68288,0,0,5/8/24 14:03,,LooseTag
dff38fc4,1c54dde3,29,22,5/8/24 14:03,,ALIVE
5834602f,4f98c3ee,24,16,5/8/24 14:03,,ALIVE
9f64b93b,b9bd30ed,29,20,5/8/24 14:03,,ALIVE
e44eaebe,cfcaf055,29,21,5/8/24 14:04,,ALIVE
44b5b83f,1c81865b,28,21,5/8/24 14:03,,ALIVE
afc43d88,34597d44,28,19,5/8/24 14:04,,ALIVE
e6be0028,77089ae1,24,19,5/8/24 14:04,,ALIVE
48c68b78,6b2efa8e,29,21,5/8/24 14:04,,ALIVE
245ea3fb,4efb4f59,0,0,5/8/24 14:06,,LooseTag
1de7739c,9a53bb42,0,0,5/8/24 14:05,,LooseTag
8afbb196,79e98ccf,34,25,5/8/24 14:06,,ALIVE
41936fff,9fceea8e,33,20,5/8/24 14:07,,ALIVE
d4001b19,313b508f,31,20,5/8/24 14:07,,ALIVE
36a4c3b8,7757b6b7,35,21,5/8/24 14:07,,ALIVE
967af109,fb327d15,29,19,5/8/24 14:07,,DEAD
edbcd726,32bfd79c,36,19,5/8/24 14:07,,ALIVE
429ab036,9ffa4ea4,32,20,5/8/24 14:07,,ALIVE
fdac6e66,1d81f903,35,21,5/8/24 14:07,,ALIVE
fc5b0d1d,12c755ed,25,16,5/8/24 14:07,,ALIVE
803c0d88,c1a47019,31,22,5/8/24 14:07,,ALIVE
949d03a7,cf5531d2,35,25,5/8/24 14:08,,ALIVE
49b0c2fe,7642f374,33,20,5/8/24 14:08,,ALIVE
13d1ef0d,beba860a,33,20,5/8/24 14:08,,ALIVE
51aceb21,f75f02a4,34,20,5/8/24 14:08,,ALIVE
c595ffe5,a4629404,33,21,5/8/24 14:08,,ALIVE
