"","salinity_quantile_10","salinity_quantile_90","temp_quantile_10","temp_quantile_90","Dermo_Prevalence","Pea_crab","MSX_Prevalence","salinity_quantile_10_scaled","salinity_quantile_90_scaled","temp_quantile_10_scaled","temp_quantile_90_scaled","Dermo_Prevalence_scaled","Pea_crab_scaled","MSX_Prevalence_scaled","lew_sal_quant10_scaled","lew_sal_quant90_scaled","lew_temp_quant10_scaled","lew_temp_quant90_scaled","lew_Dermo_Prevalence_scaled","lew_Pea_crab_scaled","lew_MSX_Prevalence_scaled","yrk_sal_quant10_scaled","yrk_sal_quant90_scaled","yrk_temp_quant10_scaled","yrk_temp_quant90_scaled","yrk_Dermo_Prevalence_scaled","yrk_Pea_crab_scaled","yrk_MSX_Prevalence_scaled"
"OL_MI_SC_2022-5-31",32.404,35.61466667,10.84666667,28.36,0.4375,0.157894737,0,1.92529112927562,1.23170181827526,0.248987592858009,0.183891208526748,0.79532255746441,1.08873781598726,-0.609674953718044,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"Orrs_Cove_ME_2022-10-31",26.29,31.48,7.563,21.5,0.0625,0,0.2,1.30213667390935,0.687036239527139,-0.679588255323966,-1.84728480620775,-0.951585515869227,-0.32113075833655,0.852442392689124,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"SaLa_GA_2022-10-5",2.646948278,23.8671,12.65197754,30.62636812,0.6316,0,0,-1.1076233880827,-0.315822011305353,0.7595047192332,0.854939687521342,1.6995221762219,-0.32113075833655,-0.609674953718044,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"SaltBay_Canada_2022-9-27",21.3,30.5,1.81,20.34,0,0,0,0.793543161924124,0.557939432027258,-2.30645766426763,-2.1907489719646,-1.24273686142483,-0.32113075833655,-0.609674953718044,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"Sapelo_Is_GA_2022-7-17",20.8,32.2,12.4,29.7,0.4615,0,0.0714,0.742581888178109,0.781882873608685,0.688248930676468,0.580651537935527,0.907124674157763,-0.32113075833655,-0.0876990610506848,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"SawIs_MA_2022-9-5",11.84,30.81,11.63,24.76,0.45,0,0.0556,-0.170644137350473,0.598776177256812,0.470503503093186,-0.882032064511763,0.853552826575531,-0.32113075833655,-0.203206331416851,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"Sister_Lk_LA_2022-8-9",3,18,13.2,30.7,0.0556,0,0,-1.07163945718001,-1.08870352077734,0.91447794634741,0.876741336001781,-0.983728624418566,-0.32113075833655,-0.609674953718044,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"SkR_GA_2022-6-14",21.53821623,29.82,11.056,30.054,0.2941,0,0,0.817822766939671,0.468362055394688,0.308184184349285,0.685467326450981,0.127304910221627,-0.32113075833655,-0.609674953718044,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"SR_GB_NH_2022-8-12",5.9,28.6,7.2,24.2,0.4375,0,0.3333,-0.776064069453127,0.307649703200959,-0.782239671184656,-1.04784235142887,0.79532255746441,-0.32113075833655,1.8269436040695,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"TP_TX_2022-6-28",7,27,13.2,30.9,0.1538,0,0,-0.663949267211895,0.0968794052419698,0.91447794634741,0.935959295615031,-0.526271630281598,-0.32113075833655,-0.609674953718044,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
