"","site_name","merge_ID_inds","Label_ind","Key_ind","SiteDate_Key","lat.x","lon.x","Mean_Annual_Salinity_ppt","Mean_max_Salinity_ppt","Mean_min_Salinity_ppt","salinity_quantile_10","salinity_quantile_90","lat.y","lon.y","Mean_Annual_Temperature_C","Mean_max_temperature_C","Mean_min_temperature_C","temp_quantile_10","temp_quantile_90","sal_quant10_scaled","sal_quant90_scaled","temp_quant10_scaled","temp_quant90_scaled","LEW_salinity_quantile_10","LEW_salinity_quantile_90","LEW_temp_quantile_10","LEW_temp_quantile_90","LEW_sal_quant10_scaled","LEW_sal_quant90_scaled","LEW_temp_quant10_scaled","LEW_temp_quant90_scaled","YRK_salinity_quantile_10","YRK_salinity_quantile_90","YRK_temp_quantile_10","YRK_temp_quantile_90","YRK_sal_quant10_scaled","YRK_sal_quant90_scaled","YRK_temp_quant10_scaled","YRK_temp_quant90_scaled"
"1.31","S2-DEBY","H3_CviMVP_PlDNA_7_D816_5F4FEE20","D816","5F4FEE20","D2D83B3C",37.247284,-76.499369,19.33913072,24.18909091,12.90636364,15.81,22.39,37.247284,-76.499369,17.12424242,30.14377273,3.546090909,6.53,27.49,0.428711601072038,-0.129758609295936,-0.858110722615889,-0.0719587231892383,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.32","S2-DEBY","E4_CviMVP_PlDNA_7_D818_9FFB6260","D818","9FFB6260","D2D83B3C",37.247284,-76.499369,19.33913072,24.18909091,12.90636364,15.81,22.39,37.247284,-76.499369,17.12424242,30.14377273,3.546090909,6.53,27.49,0.428711601072038,-0.129758609295936,-0.858110722615889,-0.0719587231892383,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.33","S2-DEBY","A8_CviMVP_PlDNA_6_D821_874DA7F5","D821","874DA7F5","D2D83B3C",37.247284,-76.499369,19.33913072,24.18909091,12.90636364,15.81,22.39,37.247284,-76.499369,17.12424242,30.14377273,3.546090909,6.53,27.49,0.428711601072038,-0.129758609295936,-0.858110722615889,-0.0719587231892383,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.34","S2-DEBY","G3_CviMVP_PlDNA_6_D874_82ad06ee","D874","82ad06ee","D2D83B3C",37.247284,-76.499369,19.33913072,24.18909091,12.90636364,15.81,22.39,37.247284,-76.499369,17.12424242,30.14377273,3.546090909,6.53,27.49,0.428711601072038,-0.129758609295936,-0.858110722615889,-0.0719587231892383,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.35","S2-DEBY","D2_CviMVP_PlDNA_7_D871_60d713f2","D871","60d713f2","D2D83B3C",37.247284,-76.499369,19.33913072,24.18909091,12.90636364,15.81,22.39,37.247284,-76.499369,17.12424242,30.14377273,3.546090909,6.53,27.49,0.428711601072038,-0.129758609295936,-0.858110722615889,-0.0719587231892383,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.36","S2-DEBY","C10_CviMVP_PlDNA_7_D872_54094c41","D872","54094c41","D2D83B3C",37.247284,-76.499369,19.33913072,24.18909091,12.90636364,15.81,22.39,37.247284,-76.499369,17.12424242,30.14377273,3.546090909,6.53,27.49,0.428711601072038,-0.129758609295936,-0.858110722615889,-0.0719587231892383,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.37","S2-DEBY","F6_CviMVP_PlDNA_7_D873_ccd5b61b","D873","ccd5b61b","D2D83B3C",37.247284,-76.499369,19.33913072,24.18909091,12.90636364,15.81,22.39,37.247284,-76.499369,17.12424242,30.14377273,3.546090909,6.53,27.49,0.428711601072038,-0.129758609295936,-0.858110722615889,-0.0719587231892383,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.38","W1-TX","G5_CviMVP_PlDNA_7_D485_7767496A","D485","7767496A","5413EC26",28.0841,-97.2009,20.85778793,29.90625,6.34375,5.9,36.7,28.0841,-97.2009,23.10605003,32.61875,7.775,13.8,30.5,-0.622402152022541,1.370619626138,1.41571379751005,0.978457168176467,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.39","W1-TX","B9_CviMVP_PlDNA_6_D487_FEB662A1","D487","FEB662A1","5413EC26",28.0841,-97.2009,20.85778793,29.90625,6.34375,5.9,36.7,28.0841,-97.2009,23.10605003,32.61875,7.775,13.8,30.5,-0.622402152022541,1.370619626138,1.41571379751005,0.978457168176467,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.40","W1-TX","G1_CviMVP_PlDNA_6_D488_D412E119","D488","D412E119","5413EC26",28.0841,-97.2009,20.85778793,29.90625,6.34375,5.9,36.7,28.0841,-97.2009,23.10605003,32.61875,7.775,13.8,30.5,-0.622402152022541,1.370619626138,1.41571379751005,0.978457168176467,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.41","W1-TX","B8_CviMVP_PlDNA_6_D489_3898043B","D489","3898043B","5413EC26",28.0841,-97.2009,20.85778793,29.90625,6.34375,5.9,36.7,28.0841,-97.2009,23.10605003,32.61875,7.775,13.8,30.5,-0.622402152022541,1.370619626138,1.41571379751005,0.978457168176467,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
