#YY MM DD hh mm DEPTH OTMP COND SAL O2% O2PPM CLCON TURB PH EH
2016 01 08 07 00 1.0 8.10 999.00 15.90 999.0 11.20 5.80 2 99.00 99.00
2016 01 08 08 00 1.0 8.10 999.00 16.10 999.0 10.90 5.40 2 99.00 99.00
2016 01 08 09 00 1.0 8.10 999.00 16.00 999.0 11.00 5.00 2 99.00 99.00
2016 01 08 10 00 1.0 8.00 999.00 15.30 999.0 11.50 5.10 2 99.00 99.00
2016 01 08 11 00 1.0 7.80 999.00 14.80 999.0 11.70 5.60 2 99.00 99.00
2016 01 08 12 00 1.0 7.80 999.00 14.70 999.0 11.70 6.10 2 99.00 99.00
2016 01 08 13 00 1.0 7.90 999.00 14.80 999.0 11.60 6.60 2 99.00 99.00
2016 01 08 14 00 1.0 7.90 999.00 15.10 999.0 11.50 6.90 2 99.00 99.00
2016 01 08 15 00 1.0 7.90 999.00 15.20 999.0 11.50 7.20 2 99.00 99.00
2016 01 08 16 00 1.0 7.90 999.00 15.30 999.0 11.50 6.20 2 99.00 99.00
2016 01 08 17 00 1.0 8.00 999.00 15.50 999.0 11.50 5.70 2 99.00 99.00
2016 01 08 18 00 1.0 8.10 999.00 15.70 999.0 11.40 5.10 2 99.00 99.00
2016 01 08 19 00 1.0 8.20 999.00 15.80 999.0 11.40 5.50 2 99.00 99.00
2016 01 08 20 00 1.0 8.20 999.00 15.90 999.0 11.20 4.60 2 99.00 99.00
2016 01 08 21 00 1.0 8.20 999.00 16.00 999.0 11.00 5.10 2 99.00 99.00
2016 01 09 18 00 1.0 8.40 999.00 16.00 999.0 10.90 2.60 1 99.00 99.00
2016 01 09 19 00 1.0 8.30 999.00 16.00 999.0 10.80 2.70 1 99.00 99.00
2016 01 09 20 00 1.0 8.40 999.00 16.00 999.0 10.90 3.00 1 99.00 99.00
2016 01 09 21 00 1.0 8.50 999.00 16.00 999.0 11.00 4.50 1 99.00 99.00
2016 01 09 22 00 1.0 8.70 999.00 15.00 999.0 12.10 6.70 1 99.00 99.00
